Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,145,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"options.AddPolicy(""API"", httpContext =>                  RateLimitPartition.GetFixedWindowLimiter(                      partitionKey: httpContext.Connection.RemoteIpAddress?.ToString() ?? ""localhost"",                      factory: _ => new FixedWindowRateLimiterOptions                      {                          AutoReplenishment = true,                          PermitLimit = 1500,                          Window = TimeSpan.FromMinutes(1)                      }));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,134,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"options.GlobalLimiter = PartitionedRateLimiter.Create<HttpContext, string>(context =>                  RateLimitPartition.GetFixedWindowLimiter(                      partitionKey: context.Connection.RemoteIpAddress?.ToString() ?? ""localhost"",                      factory: _ => new FixedWindowRateLimiterOptions                      {                          AutoReplenishment = true,                          PermitLimit = 2000,                          Window = TimeSpan.FromMinutes(1)                      }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,39,16,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var trustedOrigins = builder.Configuration.GetSection(""ApiSettings:TrustedOrigins"").Get<string[]>() ?? Array.Empty<string>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,26,8,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"builder.Services.AddIdentity<ApplicationUser, IdentityRole>()              .AddEntityFrameworkStores<ApplicationDbContext>()              .AddDefaultTokenProviders()              .AddErrorDescriber<SwedishIdentityErrorDescriber>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KronoxApi\KronoxApi.csproj,File,KronoxApi\Program.cs,26,8,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,"builder.Services.AddIdentity<ApplicationUser, IdentityRole>()              .AddEntityFrameworkStores<ApplicationDbContext>()              .AddDefaultTokenProviders()              .AddErrorDescriber<SwedishIdentityErrorDescriber>();"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\KronoxFront.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/Footer_razor.g.cs,897,16,T:System.Net.Http.HttpContent,,,,,customPages = await customResponse.Content.ReadFromJsonAsync<List<NavigationPageDto>>() ?? new();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/Footer_razor.g.cs,856,16,T:System.Net.Http.HttpContent,,,,,allNavItems = await navResponse.Content.ReadFromJsonAsync<List<NavigationConfigDto>>() ?? new();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/NavMenu_razor.g.cs,1194,16,T:System.Net.Http.HttpContent,,,,,navigationConfigs = await response.Content.ReadFromJsonAsync<List<NavigationConfigDto>>() ?? new();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/NavMenu_razor.g.cs,1176,16,T:System.Net.Http.HttpContent,,,,,navigationPages = await response.Content.ReadFromJsonAsync<List<NavigationPageDto>>() ?? new();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Layout/NavMenu_razor.g.cs,1109,8,T:System.Uri,,,,,var uri = Nav.ToAbsoluteUri(Nav.Uri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Editors/BannerImageUploader_razor.g.cs,590,16,P:System.Uri.AbsolutePath,,,,,url = abs.AbsolutePath;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Editors/BannerImageUploader_razor.g.cs,588,12,T:System.Uri,,,,,"if (Uri.TryCreate(url, UriKind.Absolute, out var abs))              {                  url = abs.AbsolutePath; // ""/images/pages/home/foo.jpg""              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Editors/BannerImageUploader_razor.g.cs,588,12,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"if (Uri.TryCreate(url, UriKind.Absolute, out var abs))              {                  url = abs.AbsolutePath; // ""/images/pages/home/foo.jpg""              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Admin/CustomPageAdmin_razor.g.cs,1559,8,T:System.Net.Http.HttpContent,,,,,var dto = await response.Content.ReadFromJsonAsync<KronoxFront.DTOs.CustomPageDto>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Registrera_razor.g.cs,947,16,T:System.Net.Http.HttpContent,,,,,var error = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,KronoxFront\KronoxFront.csproj,File,KronoxFront\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Admin/ActionPlanAdmin_razor.g.cs,3080,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
